,date,avgTemp
8898666,2022-05-20,15.4
27131614,2022-11-17,5.7
25422022,2022-10-03,11.5
10423497,2022-06-16,20.3
24479435,2022-10-01,14.8
28851252,2022-12-12,1.6
25955516,2022-11-27,10.7
2383197,2022-03-11,7.2
9387986,2022-06-24,21.9
2274475,2022-03-13,-2.3
13761034,2022-07-12,25.8
24829182,2022-10-02,15.2
25692553,2022-10-12,17.9
18053673,2022-08-08,30.3
27249694,2022-11-07,21.3
8358626,2022-05-26,16.4
98698,2022-01-13,4.0
12341599,2022-06-02,20.3
8428111,2022-05-05,17.2
28175841,2022-11-22,6.6
1241111,2022-02-02,2.3
13046487,2022-07-29,28.2
6349425,2022-05-11,16.1
4607431,2022-04-13,15.4
798724,2022-01-24,-0.2
21468284,2022-09-11,23.2
5872033,2022-04-04,7.6
1781944,2022-02-08,4.1
8613237,2022-05-07,10.0
18514822,2022-08-01,23.1
4606042,2022-04-21,10.6
24707736,2022-10-17,16.6
2350553,2022-03-17,8.2
12052196,2022-06-28,22.4
19199765,2022-08-31,25.6
13896977,2022-07-03,26.9
27179111,2022-11-09,8.7
6119861,2022-04-10,8.6
15110085,2022-07-19,28.2
1189678,2022-02-04,5.8
8891419,2022-05-18,17.8
23484981,2022-10-07,20.3
17771021,2022-08-24,26.9
5565627,2022-04-22,14.6
240153,2022-01-22,-5.9
5201272,2022-04-26,11.5
3338594,2022-03-31,9.9
3241402,2022-03-20,14.3
29263546,2022-12-31,8.2
11867607,2022-06-20,20.5
27521953,2022-11-20,2.7
27311871,2022-11-21,1.1
19177520,2022-08-28,24.6
5701416,2022-04-25,10.4
28772891,2022-12-03,10.6
1026906,2022-02-23,14.4
2054354,2022-02-27,2.4
11639020,2022-06-09,24.4
601882,2022-01-21,-6.0
1688967,2022-02-19,0.1
3435,2022-01-16,-8.0
22720014,2022-09-27,19.7
27617701,2022-11-30,8.4
21926262,2022-09-26,19.4
2256785,2022-03-05,3.1
18947933,2022-08-14,24.0
20089488,2022-09-22,21.8
3673320,2022-03-12,5.1
287967,2022-01-26,-2.3
26821135,2022-11-29,5.4
15582487,2022-07-04,25.6
28528481,2022-12-28,3.4
3746045,2022-03-08,8.7
28600957,2022-12-26,-4.7
1403878,2022-02-05,-2.8
6129469,2022-04-11,8.8
14483673,2022-07-14,26.6
794684,2022-01-02,11.4
25204230,2022-10-05,13.8
25974813,2022-11-24,8.1
17356323,2022-08-23,25.9
2642137,2022-03-23,7.2
8510500,2022-05-23,21.0
4907392,2022-04-20,9.4
1565883,2022-02-06,-4.8
1442273,2022-02-10,6.3
2059068,2022-02-17,11.6
