,date,bike_rides_daily
221,2022-07-30,24531
222,2022-07-31,22424
223,2022-08-01,19722
224,2022-08-02,23942
225,2022-08-03,24979
226,2022-08-04,23542
227,2022-08-05,23030
228,2022-08-06,24604
229,2022-08-07,19118
230,2022-08-08,20997
231,2022-08-09,22119
232,2022-08-10,24502
233,2022-08-11,22756
234,2022-08-12,24559
235,2022-08-13,26349
236,2022-08-14,22264
237,2022-08-15,22512
238,2022-08-16,24454
239,2022-08-17,24149
240,2022-08-18,24457
241,2022-08-19,24160
242,2022-08-20,25573
243,2022-08-21,21998
244,2022-08-22,17111
245,2022-08-23,23871
246,2022-08-24,24733
247,2022-08-25,23748
248,2022-08-26,21788
249,2022-08-27,23440
250,2022-08-28,21685
251,2022-08-29,21515
252,2022-08-30,22961
253,2022-08-31,24663
254,2022-09-01,24138
255,2022-09-02,23534
256,2022-09-03,21755
257,2022-09-04,20043
258,2022-09-05,18778
259,2022-09-06,8144
260,2022-09-07,22542
261,2022-09-08,27012
262,2022-09-09,26754
263,2022-09-10,27035
264,2022-09-11,13782
265,2022-09-12,23048
266,2022-09-13,24421
267,2022-09-14,27117
268,2022-09-15,26543
269,2022-09-16,26212
270,2022-09-17,26299
271,2022-09-18,23306
272,2022-09-19,20387
273,2022-09-20,25976
274,2022-09-21,26553
275,2022-09-22,20501
276,2022-09-23,22574
277,2022-09-24,22567
278,2022-09-25,17441
279,2022-09-26,21145
280,2022-09-27,23365
281,2022-09-28,24661
282,2022-09-29,24514
283,2022-09-30,23108
284,2022-10-01,11894
285,2022-10-02,10346
286,2022-10-03,9717
287,2022-10-04,10461
288,2022-10-05,13976
289,2022-10-06,24711
290,2022-10-07,24699
291,2022-10-08,20290
292,2022-10-09,18690
293,2022-10-10,19353
294,2022-10-11,22158
295,2022-10-12,23767
296,2022-10-13,14643
297,2022-10-14,23118
298,2022-10-15,23536
299,2022-10-16,20194
300,2022-10-17,17578
301,2022-10-18,20187
302,2022-10-19,19940
303,2022-10-20,20751
304,2022-10-21,21507
305,2022-10-22,22210
306,2022-10-23,13354
307,2022-10-24,13247
308,2022-10-25,19521
309,2022-10-26,22577
310,2022-10-27,23194
311,2022-10-28,21178
312,2022-10-29,20862
313,2022-10-30,19101
314,2022-10-31,19298
315,2022-11-01,20932
316,2022-11-02,23457
317,2022-11-03,23330
318,2022-11-04,23834
319,2022-11-05,24261
320,2022-11-06,20288
321,2022-11-07,21414
322,2022-11-08,19387
323,2022-11-09,19200
324,2022-11-10,22028
325,2022-11-11,11085
326,2022-11-12,22782
327,2022-11-13,13566
328,2022-11-14,14763
329,2022-11-15,12908
330,2022-11-16,15366
331,2022-11-17,15404
332,2022-11-18,14828
333,2022-11-19,11840
334,2022-11-20,8997
335,2022-11-21,12020
336,2022-11-22,14875
337,2022-11-23,14603
338,2022-11-24,7449
339,2022-11-25,8583
340,2022-11-26,11916
341,2022-11-27,7027
342,2022-11-28,14607
343,2022-11-29,15109
344,2022-11-30,10920
345,2022-12-01,14600
346,2022-12-02,14912
347,2022-12-03,8914
348,2022-12-04,12447
349,2022-12-05,14911
350,2022-12-06,10544
351,2022-12-07,14860
352,2022-12-08,17788
353,2022-12-09,15440
354,2022-12-10,12696
355,2022-12-11,6533
356,2022-12-12,11873
357,2022-12-13,13192
358,2022-12-14,13528
359,2022-12-15,8918
360,2022-12-16,5749
361,2022-12-17,11882
362,2022-12-18,9543
363,2022-12-19,10847
364,2022-12-20,11784
365,2022-12-21,11833
366,2022-12-22,7901
367,2022-12-23,5201
368,2022-12-24,2264
369,2022-12-25,1770
370,2022-12-26,3821
371,2022-12-27,6584
372,2022-12-28,8872
373,2022-12-29,10252
374,2022-12-30,12512
375,2022-12-31,6123
